"channel","inventory_row_type","province","city","suburb","area","outlet_name","inventory_name","package_name","slot_label","media_subtype","rate_type","pricing_basis","internal_cost_zar","reference_sell_value_zar","estimated_gross_margin_zar","estimated_gross_margin_percent","raw_rate_zar","cost_zar","investment_zar","cost_per_month_zar","value_zar","inventory_key","source_type"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 05:00-06:00","","05:00-06:00","spot","spot","broadcast_investment_vs_value",,,,,"795","795",,,,"radio_slot:22909b74-9f27-eaa2-c966-71b048de1f9b","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 06:00-09:00","","06:00-09:00","spot","spot","broadcast_investment_vs_value",,,,,"4350","4350",,,,"radio_slot:36d8d7c8-e668-54f6-3cc3-513143f83756","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 06:00-09:00","","06:00-09:00","spot","spot","broadcast_investment_vs_value",,,,,"4350","4350",,,,"radio_slot:69744591-0c11-f186-49b6-b155ac2b167e","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 06:00-09:00","","06:00-09:00","spot","spot","broadcast_investment_vs_value",,,,,"4350","4350",,,,"radio_slot:32b77af5-bb0b-92c0-509c-598c0f8166c4","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 09:00-12:00","","09:00-12:00","spot","spot","broadcast_investment_vs_value",,,,,"4245","4245",,,,"radio_slot:a82b9f12-d294-a110-5cba-6ed2461aae95","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 09:00-12:00","","09:00-12:00","spot","spot","broadcast_investment_vs_value",,,,,"4245","4245",,,,"radio_slot:a8255470-d3f1-5e10-e6d3-cdb028c47c23","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 09:00-12:00","","09:00-12:00","spot","spot","broadcast_investment_vs_value",,,,,"4245","4245",,,,"radio_slot:22c63648-ef52-41ef-8619-235ebeedc04a","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 12:00-15:00","","12:00-15:00","spot","spot","broadcast_investment_vs_value",,,,,"2805","2805",,,,"radio_slot:a275a6d2-1b1d-5fd8-5524-a718fdaa3097","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 12:00-15:00","","12:00-15:00","spot","spot","broadcast_investment_vs_value",,,,,"2805","2805",,,,"radio_slot:05e54722-7353-0212-e7df-1ce40cd6dd0c","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 12:00-15:00","","12:00-15:00","spot","spot","broadcast_investment_vs_value",,,,,"2805","2805",,,,"radio_slot:50099552-45c2-0087-80ae-0b83973bc7fb","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 15:00-18:00","","15:00-18:00","spot","spot","broadcast_investment_vs_value",,,,,"3195","3195",,,,"radio_slot:a5f03f07-992e-aac7-b9f4-d40e2b160ea6","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 15:00-18:00","","15:00-18:00","spot","spot","broadcast_investment_vs_value",,,,,"3195","3195",,,,"radio_slot:d9c399b9-4703-1a08-5ded-1e1e79329ae7","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 15:00-18:00","","15:00-18:00","spot","spot","broadcast_investment_vs_value",,,,,"3195","3195",,,,"radio_slot:edf73052-2729-b7de-0833-f21bbdd4068e","radio_slot"
"radio","slot","gauteng","Vanderbijlpark","","Vanderbijlpark","Kaya 959","Kaya 959 - 18:00-20:00","","18:00-20:00","spot","spot","broadcast_investment_vs_value",,,,,"2505","2505",,,,"radio_slot:10c392ed-ef5b-c239-e3b0-bcb214dfc0da","radio_slot"
