"channel","inventory_row_type","province","city","suburb","area","market_scope","coverage_type","outlet_name","inventory_name","media_subtype","package_name","slot_label","language_display","duration_seconds","rate_type","cost_zar","raw_rate_zar","investment_zar","cost_per_month_zar","value_zar","exposure_count","monthly_exposure_count","duration_weeks","duration_months","is_national","has_pricing","inventory_key","source_type"
"ooh","site","Western Cape","Cape Town","Century City","Century City","Western Cape","","BlackSpace","Canal Walk Mall,, Cape Town","Static Wall Billboard | Outdoor","","","N/A","","Static Wall Billboard | Outdoor","40000","50000","","","","","","","","false","true","ooh_site:fa95cf87-6d57-4756-91ac-05eb276cf404","ooh"
"ooh","site","Western Cape","Cape Town","Century City","Century City","Western Cape","","BlackSpace","Canal Walk Mall,, Cape Town","Digital Screen | Indoor","","","N/A","","Digital Screen | Indoor","80000","90000","","","","","","","","false","true","ooh_site:cca155b1-14ba-4edd-9423-b71804cde4d2","ooh"
"ooh","site","Western Cape","Cape Town","Century City","Century City","Western Cape","","BlackSpace","Canal Walk Mall,, Cape Town","Digital Screen | Indoor","","","N/A","","Digital Screen | Indoor","20000","30000","","","","","","","","false","true","ooh_site:e9b45bb4-4ef5-4c28-bb70-26ae1ee57c26","ooh"
"ooh","site","Western Cape","Cape Town","Century City","Century City","Western Cape","","BlackSpace","Canal Walk Mall,, Cape Town","Digital Screen | Indoor","","","N/A","","Digital Screen | Indoor","50000","60000","","","","","","","","false","true","ooh_site:4d9c89a6-a5f2-4f92-b3ca-a8b3e970efba","ooh"
"ooh","site","Western Cape","Cape Town","Century City","Century City","Western Cape","","BlackSpace","Canal Walk Mall,, Cape Town","Static Wall Billboard | Outdoor","","","N/A","","Static Wall Billboard | Outdoor","40000","50000","","","","","","","","false","true","ooh_site:b4935c12-aff7-4e61-8cc8-cc8842516e39","ooh"
"ooh","site","Western Cape","Cape Town","Delft","Delft","Western Cape","","BlackSpace","Delft Taxi Rank,, Cape Town","Static Tower | Outdoor","","","N/A","","Static Tower | Outdoor","35000","40000","","","","","","","","false","true","ooh_site:068b7bbc-c485-4d9e-89d8-3ab1751e9569","ooh"
"ooh","site","Western Cape","Cape Town","Gugulethu","Gugulethu","Western Cape","","BlackSpace","Gugulethu Crossing,, Cape Town","Static Wrap | Outdoor","","","N/A","","Static Wrap | Outdoor","55000","70000","","","","","","","","false","true","ooh_site:f6fba2e4-5055-4fe9-bacd-13b8f155fee1","ooh"
"ooh","site","Western Cape","Cape Town","Khaylitsha","Khaylitsha","Western Cape","","BlackSpace","Nonkqubela Taxi, Rank, Cape Town","Static Billboard | Outdoor","","","N/A","","Static Billboard | Outdoor","50000","65000","","","","","","","","false","true","ooh_site:522332de-4f7e-4d14-a789-21cf3817bbe8","ooh"
"ooh","site","Western Cape","Cape Town","Langa","Langa","Western Cape","","BlackSpace","Langa Taxi Rank,, Cape Town","Static Billboard | Outdoor","","","N/A","","Static Billboard | Outdoor","28000","35000","","","","","","","","false","true","ooh_site:d52c7562-1738-4028-a4ad-dec4bdb7010e","ooh"
"ooh","site","Western Cape","Cape Town","Langa","Langa","Western Cape","","BlackSpace","Langa Traffic Circle,, Cape Town","Static Billboard | Outdoor","","","N/A","","Static Billboard | Outdoor","35000","45000","","","","","","","","false","true","ooh_site:b3095573-3576-4514-a96c-c623294c08fb","ooh"
"ooh","site","Western Cape","Cape Town","Somerset West","Somerset West","Western Cape","","BlackSpace","Somerset Mall,, Cape Town","Digital Screen | Outdoor","","","N/A","","Digital Screen | Outdoor","50000","60000","","","","","","","","false","true","ooh_site:31269a59-d3a3-4927-8d19-d7830aa189ec","ooh"
"ooh","site","Western Cape","Cape Town","Wynberg","Wynberg","Western Cape","","BlackSpace","Wynberg Taxi Rank,, Cape Town","Static Billboard | Outdoor","","","N/A","","Static Billboard | Outdoor","35000","45000","","","","","","","","false","true","ooh_site:b88ab6fc-f5ab-456f-acfc-9b40ee5367b4","ooh"
